Instance,Jobs,Tools,Magazine,Solution,ExecutionTime(s)
SAIDA_1_instancia_10x10_C12_1.csv,10,10,12,0,12873
SAIDA_2_instancia_10x10_C12_1.csv,10,10,12,0,12534
SAIDA_3_instancia_10x10_C12_1.csv,10,10,12,0,16643
SAIDA_4_instancia_10x10_C12_1.csv,10,10,12,0,15502
SAIDA_5_instancia_10x10_C12_1.csv,10,10,12,0,12002
SAIDA_6_instancia_10x10_C12_1.csv,10,10,12,0,17782
SAIDA_7_instancia_10x10_C12_1.csv,10,10,12,0,17195
SAIDA_8_instancia_10x10_C12_1.csv,10,10,12,0,13492
SAIDA_9_instancia_10x10_C12_1.csv,10,10,12,0,16751
SAIDA_10_instancia_10x10_C12_1.csv,10,10,12,0,17041
SAIDA_1_instancia_10x10_C12_2.csv,10,10,12,0,13485
SAIDA_2_instancia_10x10_C12_2.csv,10,10,12,0,13114
SAIDA_3_instancia_10x10_C12_2.csv,10,10,12,0,13217
SAIDA_4_instancia_10x10_C12_2.csv,10,10,12,0,20693
SAIDA_5_instancia_10x10_C12_2.csv,10,10,12,0,13256
SAIDA_6_instancia_10x10_C12_2.csv,10,10,12,0,16843
SAIDA_7_instancia_10x10_C12_2.csv,10,10,12,0,13770
SAIDA_8_instancia_10x10_C12_2.csv,10,10,12,0,17128
SAIDA_9_instancia_10x10_C12_2.csv,10,10,12,0,15772
SAIDA_10_instancia_10x10_C12_2.csv,10,10,12,0,17045
SAIDA_1_instancia_10x10_C12_3.csv,10,10,12,18,13190
SAIDA_2_instancia_10x10_C12_3.csv,10,10,12,15,13594
SAIDA_3_instancia_10x10_C12_3.csv,10,10,12,15,17630
SAIDA_4_instancia_10x10_C12_3.csv,10,10,12,11,14339
SAIDA_5_instancia_10x10_C12_3.csv,10,10,12,18,13119
SAIDA_6_instancia_10x10_C12_3.csv,10,10,12,18,12842
SAIDA_7_instancia_10x10_C12_3.csv,10,10,12,17,15533
SAIDA_8_instancia_10x10_C12_3.csv,10,10,12,15,12690
SAIDA_9_instancia_10x10_C12_3.csv,10,10,12,15,12263
SAIDA_10_instancia_10x10_C12_3.csv,10,10,12,18,13384
SAIDA_1_instancia_10x10_C12_4.csv,10,10,12,0,13589
SAIDA_2_instancia_10x10_C12_4.csv,10,10,12,0,11933
SAIDA_3_instancia_10x10_C12_4.csv,10,10,12,0,13144
SAIDA_4_instancia_10x10_C12_4.csv,10,10,12,0,13802
SAIDA_5_instancia_10x10_C12_4.csv,10,10,12,0,17370
SAIDA_6_instancia_10x10_C12_4.csv,10,10,12,0,14270
SAIDA_7_instancia_10x10_C12_4.csv,10,10,12,0,13482
SAIDA_8_instancia_10x10_C12_4.csv,10,10,12,0,12622
SAIDA_9_instancia_10x10_C12_4.csv,10,10,12,0,14817
